Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Fusaroli, Riccardo; Weed, Ethan; Fein, Deborah; Naigles, Letitia; ",Intact but Atypical Lexical and Syntactic Alignment in Spontaneous Speech of Children with Autism Spectrum Disorder,MOLA 2020 (Cancelled),,,,2020,
"Weed, Ethan; Kratschmer, Alexandra Regina; Pedersen, Michael Nygaard; ",Testing the validity of wireless EEG for cognitive research with auditory and visual paradigms,SNL 2014-Society for the Neurobiology of Language,,,,2014,
"Weed, Ethan; Fusaroli, Riccardo; Tranbjerg, Jonas; Fein, Deborah; Naigles, Letitia; ",Conversational dynamics in a longitudinal corpus of caregiver-child interactions,International Meeting for Autism Research,,,,2017,
"Petersen, Bjørn; Weed, Ethan; Hansen, Mads; Sørensen, Stine Derdau; Sandmann, Pascale; Vuust, Peter; ",Brain response to a rhythm deviant in adolescent cochlear implant users before and after an intensive musical training program,Neurobiology of Language,,,,2013,
"Fusaroli, Riccardo; Weed, Ethan; Naigles, Letitia; ",Learning to interact: Developmental trajectories of linguistic alignment in ASD,IMFAR 2016,,,,2016,
"Weed, Ethan; Kratschmer, Alexandra Regina; Lieberoth, Andreas; Pedersen, Michael Nygaard; ",Wireless EEG for field study: Checking the data quality,CFIN/MINDLab Retreat 2014,,,,2014,
"Weed, Ethan; ",Sounds in context: electrophysiological evidence for local bias in auditory processing,,,,,2014,
"Fusaroli, Riccardo; Weed, Ethan; ",Clinical Voices-an update,Autism at Aarhus 2013,,,,2013,
"Weed, Ethan; Fusaroli, Riccardo; ",Modeling parent-child dyads in the linguistic development of children with and without ASD,AUTISM@ AARHUS 2015 SYMPOSIUM: 4TH ANNIVERSARY MEETING,,,,2015,
"Weed, Ethan; ","Bits and pieces: perception, cognition, and language in patients with damage to the right cerebral hemisphere.",,,,,2007,
"Fusaroli, Riccardo; Weed, Ethan; Fein, Deborah; Naigles, Letitia; ",Linguistic adaptation between mothers and children in ASD: A longitudinal perspective,Psychonomic Society's 55th Annual Meeting,,,,2014,
"Fusaroli, Riccardo; Cantio, Cathriona; Bilenberg, Niels; Weed, Ethan; ",Voice Patterns in Children with Autism Spectrum Disorder: Predicting Diagnostic Status and Symptoms Severity,the International Meeting for Autism Research 2014,,,,2014,
"Weed, Ethan; ",Is there an irony center in the brain?,Ironistik: Ironi i et multidisciplinært perspektiv,,,79-83,2013,Publizon
"Fusaroli, Riccardo; Weed, Ethan; Fein, Deborah; Naigles, Letitia; ",Language development in context: a longitudinal study of typically-developing children and children with ASD,IMFAR 2015,,,,2015,
